,Position,Track Name,Artist,Streams,URL,date
113,114,SICKO MODE,Travis Scott,6432619,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2020-01-12
114,115,High Fashion (feat. Mustard),Roddy Ricch,6394835,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,2020-01-12
115,116,Truth Hurts,Lizzo,6360329,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2020-01-12
116,117,FML,Arizona Zervas,6345905,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,2020-01-12
117,118,Sweet but Psycho,Ava Max,6319018,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2020-01-12
118,119,People You Know,Selena Gomez,6255954,https://open.spotify.com/track/63mdJr3NMY3wReOkNE6c6W,2020-01-12
119,120,Never Seen the Rain,Tones And I,6234795,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,2020-01-12
120,121,Liar,Camila Cabello,6218199,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,2020-01-12
121,122,Dancing With A Stranger (with Normani),Sam Smith,6216837,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2020-01-12
122,123,Soltera - Remix,Lunay,6193399,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,2020-01-12
123,124,No Guidance (feat. Drake),Chris Brown,6174749,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2020-01-12
124,125,SAD!,XXXTENTACION,6152438,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2020-01-12
125,126,Suge,DaBaby,6010709,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2020-01-12
126,127,Girls Like You (feat. Cardi B),Maroon 5,5944610,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2020-01-12
127,128,Perreo en La Luna,Rich Music LTD,5916091,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,2020-01-12
128,129,Eastside (with Halsey & Khalid),benny blanco,5887586,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2020-01-12
129,130,"thank u, next",Ariana Grande,5877097,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2020-01-12
130,131,Higher Love,Kygo,5871908,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2020-01-12
131,132,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,5867961,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,2020-01-12
132,133,bury a friend,Billie Eilish,5842677,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,2020-01-12
133,134,Up All Night,Khalid,5834918,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,2020-01-12
134,135,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,5825008,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2020-01-12
135,136,Get You The Moon (feat. Snøw),Kina,5813916,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2020-01-12
136,137,Can We Kiss Forever?,Kina,5804236,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,2020-01-12
137,138,Say You Won't Let Go,James Arthur,5800051,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-01-12
138,139,Infeliz,Arcangel,5789670,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m,2020-01-12
139,140,Better Now,Post Malone,5771266,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2020-01-12
140,141,223's (feat. 9lokknine),YNW Melly,5767744,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,2020-01-12
141,142,ocean eyes,Billie Eilish,5755265,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2020-01-12
